"","GeneID","PATH","Annot"
"1230","ALDH7A1","00380","Tryptophan metabolism"
"1231","ALDH7A1","00410","beta-Alanine metabolism"
"1232","ALDH7A1","00561","Glycerolipid metabolism"
"1233","ALDH7A1","00620","Pyruvate metabolism"
"1234","ALDH7A1","00640","Propanoate metabolism"
"1235","ALDH7A1","01100","Metabolic pathways"
"1237","ATP5F1B","00190","Oxidative phosphorylation"
"1238","ATP5F1B","01100","Metabolic pathways"
"1239","ATP5F1B","05010","Alzheimer disease"
"1240","ATP5F1B","05012","Parkinson disease"
"1241","ATP5F1B","05016","Huntington disease"
"1243","ATP5F1C","00190","Oxidative phosphorylation"
"1244","ATP5F1C","01100","Metabolic pathways"
"1245","ATP5F1C","05010","Alzheimer disease"
"1246","ATP5F1C","05012","Parkinson disease"
"1247","ATP5F1C","05016","Huntington disease"
"1248","ATP5F1D","00190","Oxidative phosphorylation"
"1249","ATP5F1D","01100","Metabolic pathways"
"1250","ATP5F1D","05010","Alzheimer disease"
"1251","ATP5F1D","05012","Parkinson disease"
"1252","ATP5F1D","05016","Huntington disease"
"1253","ATP5F1E","00190","Oxidative phosphorylation"
"1254","ATP5F1E","01100","Metabolic pathways"
"1255","ATP5F1E","05010","Alzheimer disease"
"1256","ATP5F1E","05012","Parkinson disease"
"1257","ATP5F1E","05016","Huntington disease"
"1258","ATP5PB","00190","Oxidative phosphorylation"
"1259","ATP5PB","01100","Metabolic pathways"
"1260","ATP5PB","05010","Alzheimer disease"
"1261","ATP5PB","05012","Parkinson disease"
"1262","ATP5PB","05016","Huntington disease"
"1263","ATP5MC1","00190","Oxidative phosphorylation"
"1264","ATP5MC1","01100","Metabolic pathways"
"1265","ATP5MC1","05010","Alzheimer disease"
"1266","ATP5MC1","05012","Parkinson disease"
"1267","ATP5MC1","05016","Huntington disease"
"1268","ATP5MC2","00190","Oxidative phosphorylation"
"1269","ATP5MC2","01100","Metabolic pathways"
"1270","ATP5MC2","05010","Alzheimer disease"
"1271","ATP5MC2","05012","Parkinson disease"
"1272","ATP5MC2","05016","Huntington disease"
"1273","ATP5MC3","00190","Oxidative phosphorylation"
"1274","ATP5MC3","01100","Metabolic pathways"
"1275","ATP5MC3","05010","Alzheimer disease"
"1276","ATP5MC3","05012","Parkinson disease"
"1277","ATP5MC3","05016","Huntington disease"
"1279","ATP5ME","00190","Oxidative phosphorylation"
"1280","ATP5ME","01100","Metabolic pathways"
"1281","ATP5PF","00190","Oxidative phosphorylation"
"1282","ATP5PF","01100","Metabolic pathways"
"1283","ATP5PF","05010","Alzheimer disease"
"1284","ATP5PF","05012","Parkinson disease"
"1285","ATP5PF","05016","Huntington disease"
"1286","ATP6V1A","00190","Oxidative phosphorylation"
"1287","ATP6V1A","01100","Metabolic pathways"
"1288","ATP6V1A","04145","Phagosome"
"1289","ATP6V1A","04966","Collecting duct acid secretion"
"1290","ATP6V1A","05110","Vibrio cholerae infection"
"1291","ATP6V1A","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1292","ATP6V1A","05323","Rheumatoid arthritis"
"1293","ATP6V1B1","00190","Oxidative phosphorylation"
"1294","ATP6V1B1","01100","Metabolic pathways"
"1295","ATP6V1B1","04145","Phagosome"
"1296","ATP6V1B1","04966","Collecting duct acid secretion"
"1297","ATP6V1B1","05110","Vibrio cholerae infection"
"1298","ATP6V1B1","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1299","ATP6V1B1","05323","Rheumatoid arthritis"
"1300","ATP6V1B2","00190","Oxidative phosphorylation"
"1301","ATP6V1B2","01100","Metabolic pathways"
"1302","ATP6V1B2","04145","Phagosome"
"1303","ATP6V1B2","04966","Collecting duct acid secretion"
"1304","ATP6V1B2","05110","Vibrio cholerae infection"
"1305","ATP6V1B2","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1306","ATP6V1B2","05323","Rheumatoid arthritis"
"1307","ATP6V0C","00190","Oxidative phosphorylation"
"1308","ATP6V0C","01100","Metabolic pathways"
"1309","ATP6V0C","04142","Lysosome"
"1310","ATP6V0C","04145","Phagosome"
"1311","ATP6V0C","04966","Collecting duct acid secretion"
"1312","ATP6V0C","05110","Vibrio cholerae infection"
"1313","ATP6V0C","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1314","ATP6V0C","05323","Rheumatoid arthritis"
"1315","ATP6V1C1","00190","Oxidative phosphorylation"
"1316","ATP6V1C1","01100","Metabolic pathways"
"1317","ATP6V1C1","04145","Phagosome"
"1318","ATP6V1C1","04966","Collecting duct acid secretion"
"1319","ATP6V1C1","05110","Vibrio cholerae infection"
"1320","ATP6V1C1","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1321","ATP6V1C1","05323","Rheumatoid arthritis"
"1322","ATP6V1E1","00190","Oxidative phosphorylation"
"1323","ATP6V1E1","01100","Metabolic pathways"
"1324","ATP6V1E1","04145","Phagosome"
"1325","ATP6V1E1","04966","Collecting duct acid secretion"
"1326","ATP6V1E1","05110","Vibrio cholerae infection"
"1327","ATP6V1E1","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1328","ATP6V1E1","05323","Rheumatoid arthritis"
"1329","ATP6V0B","00190","Oxidative phosphorylation"
"1330","ATP6V0B","01100","Metabolic pathways"
"1331","ATP6V0B","04142","Lysosome"
"1332","ATP6V0B","04145","Phagosome"
"1333","ATP6V0B","05110","Vibrio cholerae infection"
"1334","ATP6V0B","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1335","ATP6V0B","05323","Rheumatoid arthritis"
"1336","ATP6V1G2","00190","Oxidative phosphorylation"
"1337","ATP6V1G2","01100","Metabolic pathways"
"1338","ATP6V1G2","04145","Phagosome"
"1339","ATP6V1G2","04966","Collecting duct acid secretion"
"1340","ATP6V1G2","05110","Vibrio cholerae infection"
"1341","ATP6V1G2","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1342","ATP6V1G2","05323","Rheumatoid arthritis"
"1343","ATP6V0A1","00190","Oxidative phosphorylation"
"1344","ATP6V0A1","01100","Metabolic pathways"
"1345","ATP6V0A1","04142","Lysosome"
"1346","ATP6V0A1","04145","Phagosome"
"1347","ATP6V0A1","04966","Collecting duct acid secretion"
"1348","ATP6V0A1","05110","Vibrio cholerae infection"
"1349","ATP6V0A1","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1350","ATP6V0A1","05323","Rheumatoid arthritis"
"1351","ATP6AP1","00190","Oxidative phosphorylation"
"1352","ATP6AP1","01100","Metabolic pathways"
"1353","ATP6AP1","04142","Lysosome"
"1354","ATP6AP1","04145","Phagosome"
"1355","ATP6AP1","05110","Vibrio cholerae infection"
"1356","ATP6AP1","05120","Epithelial cell signaling in Helicobacter pylori infection"
"1357","ATP6AP1","05323","Rheumatoid arthritis"
"1359","ATP5PO","00190","Oxidative phosphorylation"
"1360","ATP5PO","01100","Metabolic pathways"
"1361","ATP5PO","05010","Alzheimer disease"
"1362","ATP5PO","05012","Parkinson disease"
"1363","ATP5PO","05016","Huntington disease"
"1369","ATR","04110","Cell cycle"
"1370","ATR","04115","p53 signaling pathway"
"1373","AUH","00280","Valine, leucine and isoleucine degradation"
"1374","AUH","01100","Metabolic pathways"
"1376","AVP","04962","Vasopressin-regulated water reabsorption"
"1377","AVPR1A","04020","Calcium signaling pathway"
"1378","AVPR1A","04080","Neuroactive ligand-receptor interaction"
"1379","AVPR1A","04270","Vascular smooth muscle contraction"
"1380","AVPR1B","04020","Calcium signaling pathway"
"1381","AVPR1B","04080","Neuroactive ligand-receptor interaction"
"1382","AVPR1B","04270","Vascular smooth muscle contraction"
"1383","AVPR2","04080","Neuroactive ligand-receptor interaction"
"1384","AVPR2","04962","Vasopressin-regulated water reabsorption"
"1389","B2M","04612","Antigen processing and presentation"
"1391","BAAT","00120","Primary bile acid biosynthesis"
"1392","BAAT","00430","Taurine and hypotaurine metabolism"
"1393","BAAT","01040","Biosynthesis of unsaturated fatty acids"
"1394","BAAT","01100","Metabolic pathways"
"1395","BAAT","04146","Peroxisome"
"1396","BAAT","04976","Bile secretion"
"1398","BAD","04012","ErbB signaling pathway"
"1399","BAD","04210","Apoptosis"
"1400","BAD","04370","VEGF signaling pathway"
"1401","BAD","04510","Focal adhesion"
"1402","BAD","04722","Neurotrophin signaling pathway"
"1403","BAD","04910","Insulin signaling pathway"
"1404","BAD","05010","Alzheimer disease"
"1405","BAD","05014","Amyotrophic lateral sclerosis"
"1406","BAD","05145","Toxoplasmosis"
"1407","BAD","05160","Hepatitis C"
"1408","BAD","05200","Pathways in cancer"
"1409","BAD","05210","Colorectal cancer"
"1410","BAD","05212","Pancreatic cancer"
"1411","BAD","05213","Endometrial cancer"
"1412","BAD","05215","Prostate cancer"
"1413","BAD","05218","Melanoma"
"1414","BAD","05220","Chronic myeloid leukemia"
"1415","BAD","05221","Acute myeloid leukemia"
"1416","BAD","05223","Non-small cell lung cancer"
"1417","BAG1","04141","Protein processing in endoplasmic reticulum"
"1419","ADGRB1","04115","p53 signaling pathway"
"1422","BAK1","04141","Protein processing in endoplasmic reticulum"
"1425","BAX","04115","p53 signaling pathway"
"1426","BAX","04141","Protein processing in endoplasmic reticulum"
"1427","BAX","04210","Apoptosis"
"1428","BAX","04722","Neurotrophin signaling pathway"
"1429","BAX","05014","Amyotrophic lateral sclerosis"
"1430","BAX","05016","Huntington disease"
"1431","BAX","05020","Prion disease"
"1432","BAX","05200","Pathways in cancer"
"1433","BAX","05210","Colorectal cancer"
"1437","BCAT1","00280","Valine, leucine and isoleucine degradation"
"1438","BCAT1","00290","Valine, leucine and isoleucine biosynthesis"
"1439","BCAT1","00770","Pantothenate and CoA biosynthesis"
"1440","BCAT1","01100","Metabolic pathways"
"1441","BCAT2","00280","Valine, leucine and isoleucine degradation"
"1442","BCAT2","00290","Valine, leucine and isoleucine biosynthesis"
"1443","BCAT2","00770","Pantothenate and CoA biosynthesis"
"1444","BCAT2","01100","Metabolic pathways"
"1446","BCKDHA","00280","Valine, leucine and isoleucine degradation"
"1447","BCKDHA","01100","Metabolic pathways"
"1448","BCKDHB","00280","Valine, leucine and isoleucine degradation"
"1449","BCKDHB","01100","Metabolic pathways"
"1450","CCND1","04110","Cell cycle"
"1451","CCND1","04115","p53 signaling pathway"
"1452","CCND1","04310","Wnt signaling pathway"
"1453","CCND1","04510","Focal adhesion"
"1454","CCND1","04630","JAK-STAT signaling pathway"
"1455","CCND1","05200","Pathways in cancer"
"1456","CCND1","05210","Colorectal cancer"
"1457","CCND1","05212","Pancreatic cancer"
"1458","CCND1","05213","Endometrial cancer"
"1459","CCND1","05214","Glioma"
"1460","CCND1","05215","Prostate cancer"
"1461","CCND1","05216","Thyroid cancer"
"1462","CCND1","05218","Melanoma"
"1463","CCND1","05219","Bladder cancer"
"1464","CCND1","05220","Chronic myeloid leukemia"
"1465","CCND1","05221","Acute myeloid leukemia"
"1466","CCND1","05222","Small cell lung cancer"
"1467","CCND1","05223","Non-small cell lung cancer"
"1468","CCND1","05416","Viral myocarditis"
"1469","BCL2","04141","Protein processing in endoplasmic reticulum"
"1470","BCL2","04210","Apoptosis"
"1471","BCL2","04510","Focal adhesion"
"1472","BCL2","04722","Neurotrophin signaling pathway"
"1473","BCL2","05014","Amyotrophic lateral sclerosis"
"1474","BCL2","05145","Toxoplasmosis"
"1475","BCL2","05200","Pathways in cancer"
"1476","BCL2","05210","Colorectal cancer"
"1477","BCL2","05215","Prostate cancer"
"1478","BCL2","05222","Small cell lung cancer"
"1480","BCL2L1","04210","Apoptosis"
"1481","BCL2L1","04630","JAK-STAT signaling pathway"
"1482","BCL2L1","05014","Amyotrophic lateral sclerosis"
"1483","BCL2L1","05145","Toxoplasmosis"
"1484","BCL2L1","05200","Pathways in cancer"
"1485","BCL2L1","05212","Pancreatic cancer"
"1486","BCL2L1","05220","Chronic myeloid leukemia"
"1487","BCL2L1","05222","Small cell lung cancer"
"1497","TNFRSF17","04060","Cytokine-cytokine receptor interaction"
"1498","TNFRSF17","04672","Intestinal immune network for IgA production"
"1501","BCR","05200","Pathways in cancer"
"1502","BCR","05220","Chronic myeloid leukemia"
"1508","BDH1","00072",NA
"1509","BDH1","00650","Butanoate metabolism"
"1510","BDH1","01100","Metabolic pathways"
"1511","BDKRB1","04020","Calcium signaling pathway"
"1512","BDKRB1","04080","Neuroactive ligand-receptor interaction"
"1513","BDKRB1","04610","Complement and coagulation cascades"
"1514","BDKRB1","04810","Regulation of actin cytoskeleton"
"1515","BDKRB2","04020","Calcium signaling pathway"
"1516","BDKRB2","04080","Neuroactive ligand-receptor interaction"
"1517","BDKRB2","04610","Complement and coagulation cascades"
"1518","BDKRB2","04810","Regulation of actin cytoskeleton"
"1519","BDKRB2","05142","Chagas disease"
"1520","BDNF","04010","MAPK signaling pathway"
"1521","BDNF","04722","Neurotrophin signaling pathway"
"1522","BDNF","05016","Huntington disease"
"1524","CFB","04610","Complement and coagulation cascades"
"1525","CFB","05150","Staphylococcus aureus infection"
"1530","BHMT","00260","Glycine, serine and threonine metabolism"
"1531","BHMT","00270","Cysteine and methionine metabolism"
"1532","BHMT","01100","Metabolic pathways"
"1534","BID","04115","p53 signaling pathway"
"1535","BID","04210","Apoptosis"
"1536","BID","04650","Natural killer cell mediated cytotoxicity"
"1537","BID","05010","Alzheimer disease"
"1538","BID","05014","Amyotrophic lateral sclerosis"
"1539","BID","05200","Pathways in cancer"
"1540","BID","05416","Viral myocarditis"
"1544","BLM","03440","Homologous recombination"
"1546","CXCR5","04060","Cytokine-cytokine receptor interaction"
"1547","CXCR5","04062","Chemokine signaling pathway"
"1548","BLVRA","00860","Porphyrin metabolism"
"1549","BLVRB","00860","Porphyrin metabolism"
"1553","BMP2","04060","Cytokine-cytokine receptor interaction"
"1554","BMP2","04340","Hedgehog signaling pathway"
"1555","BMP2","04350","TGF-beta signaling pathway"
"1556","BMP2","05200","Pathways in cancer"
"1557","BMP2","05217","Basal cell carcinoma"
"1559","BMP4","04340","Hedgehog signaling pathway"
"1560","BMP4","04350","TGF-beta signaling pathway"
"1561","BMP4","05200","Pathways in cancer"
"1562","BMP4","05217","Basal cell carcinoma"
"1563","BMP5","04340","Hedgehog signaling pathway"
"1564","BMP5","04350","TGF-beta signaling pathway"
"1565","BMP6","04340","Hedgehog signaling pathway"
"1566","BMP6","04350","TGF-beta signaling pathway"
"1567","BMP7","04060","Cytokine-cytokine receptor interaction"
"1568","BMP7","04340","Hedgehog signaling pathway"
"1569","BMP7","04350","TGF-beta signaling pathway"
"1570","BMP8B","04340","Hedgehog signaling pathway"
"1571","BMP8B","04350","TGF-beta signaling pathway"
"1572","BMPR1A","04060","Cytokine-cytokine receptor interaction"
"1573","BMPR1A","04350","TGF-beta signaling pathway"
"1574","BMPR1B","04060","Cytokine-cytokine receptor interaction"
"1575","BMPR1B","04350","TGF-beta signaling pathway"
"1576","BMPR2","04060","Cytokine-cytokine receptor interaction"
"1577","BMPR2","04350","TGF-beta signaling pathway"
"1579","POLR3D","00230","Purine metabolism"
"1580","POLR3D","00240","Pyrimidine metabolism"
"1581","POLR3D","01100","Metabolic pathways"
"1582","POLR3D","03020","RNA polymerase"
"1583","POLR3D","04623","Cytosolic DNA-sensing pathway"
"1584","BNIP1","04130","SNARE interactions in vesicular transport"
"1591","BPGM","00010","Glycolysis / Gluconeogenesis"
"1592","BPGM","01100","Metabolic pathways"
"1595","BRCA1","04120","Ubiquitin mediated proteolysis"
"1596","BRAF","04010","MAPK signaling pathway"
"1597","BRAF","04012","ErbB signaling pathway"
"1598","BRAF","04062","Chemokine signaling pathway"
"1599","BRAF","04150","mTOR signaling pathway"
"1600","BRAF","04270","Vascular smooth muscle contraction"
"1601","BRAF","04510","Focal adhesion"
"1602","BRAF","04650","Natural killer cell mediated cytotoxicity"
"1603","BRAF","04720","Long-term potentiation"
"1604","BRAF","04722","Neurotrophin signaling pathway"
"1605","BRAF","04730","Long-term depression"
"1606","BRAF","04810","Regulation of actin cytoskeleton"
"1607","BRAF","04910","Insulin signaling pathway"
"1608","BRAF","04914","Progesterone-mediated oocyte maturation"
"1609","BRAF","05160","Hepatitis C"
"1610","BRAF","05200","Pathways in cancer"
"1611","BRAF","05210","Colorectal cancer"
"1612","BRAF","05211","Renal cell carcinoma"
"1613","BRAF","05212","Pancreatic cancer"
"1614","BRAF","05213","Endometrial cancer"
"1615","BRAF","05214","Glioma"
"1616","BRAF","05215","Prostate cancer"
"1617","BRAF","05216","Thyroid cancer"
"1618","BRAF","05218","Melanoma"
"1619","BRAF","05219","Bladder cancer"
"1620","BRAF","05220","Chronic myeloid leukemia"
"1621","BRAF","05221","Acute myeloid leukemia"
"1622","BRAF","05223","Non-small cell lung cancer"
"1623","BRCA2","03440","Homologous recombination"
"1624","BRCA2","05200","Pathways in cancer"
"1625","BRCA2","05212","Pancreatic cancer"
"1629","BRS3","04080","Neuroactive ligand-receptor interaction"
"1631","BST1","00760","Nicotinate and nicotinamide metabolism"
"1632","BST1","01100","Metabolic pathways"
"1633","BST1","04020","Calcium signaling pathway"
"1634","BST1","04970","Salivary secretion"
"1635","BST1","04972","Pancreatic secretion"
"1637","BTC","04012","ErbB signaling pathway"
"1638","BTD","00780","Biotin metabolism"
"1639","BTD","01100","Metabolic pathways"
"1640","BTD","04977","Vitamin digestion and absorption"
"1646","BTG1","03018","RNA degradation"
"1647","BTK","04380","Osteoclast differentiation"
"1648","BTK","04662","B cell receptor signaling pathway"
"1649","BTK","04664","Fc epsilon RI signaling pathway"
"1650","BTK","05340","Primary immunodeficiency"
"1652","BUB1","04110","Cell cycle"
"1653","BUB1","04114","Oocyte meiosis"
"1654","BUB1","04914","Progesterone-mediated oocyte maturation"
"1656","BUB1B","04110","Cell cycle"
"1658","TSPO","04080","Neuroactive ligand-receptor interaction"
"1660","SERPING1","04610","Complement and coagulation cascades"
"1662","C1QA","04610","Complement and coagulation cascades"
"1663","C1QA","05020","Prion disease"
"1664","C1QA","05142","Chagas disease"
"1665","C1QA","05150","Staphylococcus aureus infection"
"1666","C1QA","05322","Systemic lupus erythematosus"
"1667","C1QB","04610","Complement and coagulation cascades"
"1668","C1QB","05020","Prion disease"
"1669","C1QB","05142","Chagas disease"
"1670","C1QB","05150","Staphylococcus aureus infection"
"1671","C1QB","05322","Systemic lupus erythematosus"
"1672","C1QC","04610","Complement and coagulation cascades"
"1673","C1QC","05020","Prion disease"
"1674","C1QC","05142","Chagas disease"
"1675","C1QC","05150","Staphylococcus aureus infection"
"1676","C1QC","05322","Systemic lupus erythematosus"
"1677","C1R","04145","Phagosome"
"1678","C1R","04610","Complement and coagulation cascades"
"1679","C1R","05150","Staphylococcus aureus infection"
"1680","C1R","05322","Systemic lupus erythematosus"
"1681","C1S","04610","Complement and coagulation cascades"
"1682","C1S","05150","Staphylococcus aureus infection"
"1683","C1S","05322","Systemic lupus erythematosus"
"1684","C2","04610","Complement and coagulation cascades"
"1685","C2","05150","Staphylococcus aureus infection"
"1686","C2","05322","Systemic lupus erythematosus"
"1687","C3","04145","Phagosome"
"1688","C3","04610","Complement and coagulation cascades"
"1689","C3","05140","Leishmaniasis"
"1690","C3","05142","Chagas disease"
"1691","C3","05150","Staphylococcus aureus infection"
"1692","C3","05322","Systemic lupus erythematosus"
"1693","C3AR1","04080","Neuroactive ligand-receptor interaction"
"1694","C3AR1","04610","Complement and coagulation cascades"
"1695","C3AR1","05150","Staphylococcus aureus infection"
"1696","C4A","04610","Complement and coagulation cascades"
"1697","C4A","05150","Staphylococcus aureus infection"
"1698","C4A","05322","Systemic lupus erythematosus"
"1699","C4B","04610","Complement and coagulation cascades"
"1700","C4B","05150","Staphylococcus aureus infection"
"1701","C4B","05322","Systemic lupus erythematosus"
"1702","C4BPA","04610","Complement and coagulation cascades"
"1704","C4BPB","04610","Complement and coagulation cascades"
"1706","C5","04610","Complement and coagulation cascades"
"1707","C5","05020","Prion disease"
"1708","C5","05150","Staphylococcus aureus infection"
"1709","C5","05322","Systemic lupus erythematosus"
"1710","C5AR1","04080","Neuroactive ligand-receptor interaction"
"1711","C5AR1","04610","Complement and coagulation cascades"
"1712","C5AR1","05150","Staphylococcus aureus infection"
"1713","C6","04610","Complement and coagulation cascades"
"1714","C6","05020","Prion disease"
"1715","C6","05322","Systemic lupus erythematosus"
"1716","C7","04610","Complement and coagulation cascades"
"1717","C7","05020","Prion disease"
"1718","C7","05322","Systemic lupus erythematosus"
"1719","C8A","04610","Complement and coagulation cascades"
"1720","C8A","05020","Prion disease"
"1721","C8A","05146","Amoebiasis"
"1722","C8A","05322","Systemic lupus erythematosus"
"1723","C8B","04610","Complement and coagulation cascades"
"1724","C8B","05020","Prion disease"
"1725","C8B","05146","Amoebiasis"
"1726","C8B","05322","Systemic lupus erythematosus"
"1727","C8G","04610","Complement and coagulation cascades"
"1728","C8G","05020","Prion disease"
"1729","C8G","05146","Amoebiasis"
"1730","C8G","05322","Systemic lupus erythematosus"
"1732","C9","04610","Complement and coagulation cascades"
"1733","C9","05020","Prion disease"
"1734","C9","05146","Amoebiasis"
"1735","C9","05322","Systemic lupus erythematosus"
"1750","CA1","00910","Nitrogen metabolism"
"1751","CA2","00910","Nitrogen metabolism"
"1752","CA2","04964","Proximal tubule bicarbonate reclamation"
"1753","CA2","04966","Collecting duct acid secretion"
"1754","CA2","04971","Gastric acid secretion"
"1755","CA2","04972","Pancreatic secretion"
"1756","CA2","04976","Bile secretion"
"1757","CA3","00910","Nitrogen metabolism"
"1758","CA4","00910","Nitrogen metabolism"
"1759","CA4","04964","Proximal tubule bicarbonate reclamation"
"1760","CA5A","00910","Nitrogen metabolism"
"1762","CA6","00910","Nitrogen metabolism"
"1763","CA7","00910","Nitrogen metabolism"
"1764","CA8","00910","Nitrogen metabolism"
"1765","CA9","00910","Nitrogen metabolism"
"1767","CA12","00910","Nitrogen metabolism"
"1768","CACNA1A","04010","MAPK signaling pathway"
"1769","CACNA1A","04020","Calcium signaling pathway"
"1770","CACNA1A","04730","Long-term depression"
"1771","CACNA1A","04742","Taste transduction"
"1772","CACNA1A","04930","Type II diabetes mellitus"
"1773","CACNA1B","04010","MAPK signaling pathway"
"1774","CACNA1B","04020","Calcium signaling pathway"
"1775","CACNA1B","04742","Taste transduction"
"1776","CACNA1B","04930","Type II diabetes mellitus"
"1777","CACNA1C","04010","MAPK signaling pathway"
"1778","CACNA1C","04020","Calcium signaling pathway"
"1779","CACNA1C","04260","Cardiac muscle contraction"
"1780","CACNA1C","04270","Vascular smooth muscle contraction"
"1781","CACNA1C","04720","Long-term potentiation"
"1782","CACNA1C","04912","GnRH signaling pathway"
"1783","CACNA1C","04930","Type II diabetes mellitus"
"1784","CACNA1C","05010","Alzheimer disease"
"1785","CACNA1C","05410","Hypertrophic cardiomyopathy"
"1786","CACNA1C","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1787","CACNA1C","05414","Dilated cardiomyopathy"
"1788","CACNA1D","04010","MAPK signaling pathway"
"1789","CACNA1D","04020","Calcium signaling pathway"
"1790","CACNA1D","04260","Cardiac muscle contraction"
"1791","CACNA1D","04270","Vascular smooth muscle contraction"
"1792","CACNA1D","04912","GnRH signaling pathway"
"1793","CACNA1D","04930","Type II diabetes mellitus"
"1794","CACNA1D","04973","Carbohydrate digestion and absorption"
"1795","CACNA1D","05010","Alzheimer disease"
"1796","CACNA1D","05410","Hypertrophic cardiomyopathy"
"1797","CACNA1D","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1798","CACNA1D","05414","Dilated cardiomyopathy"
"1799","CACNA1E","04010","MAPK signaling pathway"
"1800","CACNA1E","04020","Calcium signaling pathway"
"1801","CACNA1E","04930","Type II diabetes mellitus"
"1802","CACNA1F","04010","MAPK signaling pathway"
"1803","CACNA1F","04020","Calcium signaling pathway"
"1804","CACNA1F","04260","Cardiac muscle contraction"
"1805","CACNA1F","04270","Vascular smooth muscle contraction"
"1806","CACNA1F","04912","GnRH signaling pathway"
"1807","CACNA1F","05010","Alzheimer disease"
"1808","CACNA1F","05410","Hypertrophic cardiomyopathy"
"1809","CACNA1F","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1810","CACNA1F","05414","Dilated cardiomyopathy"
"1811","CACNA1S","04010","MAPK signaling pathway"
"1812","CACNA1S","04020","Calcium signaling pathway"
"1813","CACNA1S","04260","Cardiac muscle contraction"
"1814","CACNA1S","04270","Vascular smooth muscle contraction"
"1815","CACNA1S","04912","GnRH signaling pathway"
"1816","CACNA1S","05010","Alzheimer disease"
"1817","CACNA1S","05410","Hypertrophic cardiomyopathy"
"1818","CACNA1S","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1819","CACNA1S","05414","Dilated cardiomyopathy"
"1821","CACNA2D1","04010","MAPK signaling pathway"
"1822","CACNA2D1","04260","Cardiac muscle contraction"
"1823","CACNA2D1","05410","Hypertrophic cardiomyopathy"
"1824","CACNA2D1","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1825","CACNA2D1","05414","Dilated cardiomyopathy"
"1826","CACNB1","04010","MAPK signaling pathway"
"1827","CACNB1","04260","Cardiac muscle contraction"
"1828","CACNB1","05410","Hypertrophic cardiomyopathy"
"1829","CACNB1","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1830","CACNB1","05414","Dilated cardiomyopathy"
"1831","CACNB2","04010","MAPK signaling pathway"
"1832","CACNB2","04260","Cardiac muscle contraction"
"1833","CACNB2","05410","Hypertrophic cardiomyopathy"
"1834","CACNB2","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1835","CACNB2","05414","Dilated cardiomyopathy"
"1836","CACNB3","04010","MAPK signaling pathway"
"1837","CACNB3","04260","Cardiac muscle contraction"
"1838","CACNB3","05410","Hypertrophic cardiomyopathy"
"1839","CACNB3","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1840","CACNB3","05414","Dilated cardiomyopathy"
"1841","CACNB4","04010","MAPK signaling pathway"
"1842","CACNB4","04260","Cardiac muscle contraction"
"1843","CACNB4","05410","Hypertrophic cardiomyopathy"
"1844","CACNB4","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1845","CACNB4","05414","Dilated cardiomyopathy"
"1846","CACNG1","04010","MAPK signaling pathway"
"1847","CACNG1","04260","Cardiac muscle contraction"
"1848","CACNG1","05410","Hypertrophic cardiomyopathy"
"1849","CACNG1","05412","Arrhythmogenic right ventricular cardiomyopathy"
"1850","CACNG1","05414","Dilated cardiomyopathy"
"1853","CAD","00240","Pyrimidine metabolism"
"1854","CAD","00250","Alanine, aspartate and glutamate metabolism"
"1855","CAD","01100","Metabolic pathways"
"1862","CALCR","04080","Neuroactive ligand-receptor interaction"
"1863","CALCR","04380","Osteoclast differentiation"
"1864","CALD1","04270","Vascular smooth muscle contraction"
"1865","CALM1","04020","Calcium signaling pathway"
"1866","CALM1","04070","Phosphatidylinositol signaling system"
"1867","CALM1","04114","Oocyte meiosis"
"1868","CALM1","04270","Vascular smooth muscle contraction"
"1869","CALM1","04720","Long-term potentiation"
"1870","CALM1","04722","Neurotrophin signaling pathway"
"1871","CALM1","04740","Olfactory transduction"
"1872","CALM1","04744","Phototransduction"
"1873","CALM1","04910","Insulin signaling pathway"
"1874","CALM1","04912","GnRH signaling pathway"
"1875","CALM1","04916","Melanogenesis"
"1876","CALM1","04970","Salivary secretion"
"1877","CALM1","04971","Gastric acid secretion"
"1878","CALM1","05010","Alzheimer disease"
"1879","CALM1","05214","Glioma"
"1882","CALM2","04020","Calcium signaling pathway"
"1883","CALM2","04070","Phosphatidylinositol signaling system"
"1884","CALM2","04114","Oocyte meiosis"
"1885","CALM2","04270","Vascular smooth muscle contraction"
"1886","CALM2","04720","Long-term potentiation"
"1887","CALM2","04722","Neurotrophin signaling pathway"
"1888","CALM2","04740","Olfactory transduction"
"1889","CALM2","04744","Phototransduction"
